Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality,Season
Conor Morgan,FC,6-9,220,London Lions,Victoria,"2016 NBA Draft, Undrafted",Canada,2021-2022
Matt Morgan,G,6-2,174,London Lions,Concord (NC),"2019 NBA Draft, Undrafted",United States,2021-2022
Victor Ndoukou,F,6-8,235,Leicester Riders,Wigan,2025 NBA Draft Eligible,England,2021-2022
Will Neighbour,FC,6-10,225,Newcastle Eagles,Grayshott,"2014 NBA Draft, Undrafted",England,2021-2022
Luke Nelson,G,6-3,190,London Lions,Worthing,"2017 NBA Draft, Undrafted",England,2021-2022
Kipper Nichols,F,6-6,220,Sheffield Sharks,Lakewood (OH),"2020 NBA Draft, Undrafted",United States,2021-2022
Prentiss Nixon,PG,6-2,189,Sheffield Sharks,Bolingbrook (IL),"2020 NBA Draft, Undrafted",United States,2021-2022
Mekhii Noble,PF,6-8,225,Plymouth City Patriots,Jacksonville (FL),"2023 NBA Draft, Undrafted",United States,2021-2022
David Nwaba,G,6-5,219,London Lions,Los Angeles (CA),"2016 NBA Draft, Undrafted",United States,2021-2022
Emeka Obukwelu,F,6-8,235,Surrey Scorchers,Plano (TX),"2022 NBA Draft, Undrafted",United States,2021-2022
Tayo Ogedegebe,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2021-2022
Luke Okieseme,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2021-2022
Gabriel Olaseni,C,6-10,225,London Lions,London,"2015 NBA Draft, Undrafted",England,2021-2022
Tevin Olison,G,6-4,200,Bristol Flyers,Memphis (TN),"2022 NBA Draft, Undrafted",United States,2021-2022
Princeton Onwas,GF,6-6,215,Caledonia Gladiators,Katy (TX),"2016 NBA Draft, Undrafted",United States,2021-2022
Lukas Palyza,SF,6-6,198,Caledonia Gladiators,Ostrava,"2011 NBA Draft, Undrafted",Czech Republic,2021-2022
Dijiani Parkinson,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2021-2022
Tarik Phillip,G,6-3,185,London Lions,Brooklyn (NY),"2017 NBA Draft, Undrafted",United StatesEngland,2021-2022
Xavier Pinson,PG,6-3,174,Leicester Riders,Chicago (IL),"2023 NBA Draft, Undrafted",United States,2021-2022
Jalon Pipkins,G,6-4,200,Sheffield Sharks,Paris (TX),"2022 NBA Draft, Undrafted",United States,2021-2022
Kareem Queeley,G,6-3,202,London Lions,Saint Kitts,"2023 NBA Draft, Undrafted",Saint Kitts and NevisEngland,2021-2022
Aaryn Rai,GF,6-6,205,Cheshire Phoenix,Markham,"2022 NBA Draft, Undrafted",Canada,2021-2022
Devearl Ramsey,PG,6-0,185,Sheffield Sharks,Chatsworth (CA),"2022 NBA Draft, Undrafted",United States,2021-2022
Jordan Ratinho,PG,6-5,210,Sheffield Sharks,Concord (CA),"2020 NBA Draft, Undrafted",United States,2021-2022
LaQuincy Rideau,PG,6-1,209,Cheshire Phoenix,West Palm Beach (FL),"2020 NBA Draft, Undrafted",United States,2021-2022
Legend Robertin,C,7-1,280,Manchester Giants,London,"2018 NBA Draft, Undrafted",England,2021-2022
Justin Robinson,SG,6-2,190,Surrey Scorchers,London,"2011 NBA Draft, Undrafted",England,2021-2022
Dan Rudd,G,6-1,198,Cheshire Phoenix,N/A,2027 NBA Draft Eligible,England,2021-2022
Sesan Russell,G,6-1,200,Leicester Riders,London,"2023 NBA Draft, Undrafted",England,2021-2022
Corey Samuels,G,6-1,165,Bristol Flyers,Bristol,"2022 NBA Draft, Undrafted",England,2021-2022
Ciaran Sandy,F,6-7,195,Leicester Riders,London,2025 NBA Draft Eligible,England,2021-2022
Josh Sharma,C,7-0,230,London Lions,Lexington (MA),"2019 NBA Draft, Undrafted",United StatesEngland,2021-2022
Duke Shelton,F,6-8,215,Leicester Riders,Ocala (FL),"2018 NBA Draft, Undrafted",United States,2021-2022
Callum Smart,C,6-11,216,Bristol Flyers,Gloucester,2026 NBA Draft Eligible,England,2021-2022
Leslee Smith,F,6-8,254,Bristol Flyers,Tortola,"2015 NBA Draft, Undrafted",British Virgin Islands,2021-2022
Morayo Soluade,PG,6-5,196,London Lions,London,"2017 NBA Draft, Undrafted",England,2021-2022
Scott Spencer,SF,6-6,210,Newcastle Eagles,Saint George (VA),"2022 NBA Draft, Undrafted",United States,2021-2022
Nick Stampley,F,6-6,210,Manchester Giants,Pompano Beach (FL),"2022 NBA Draft, Undrafted",United States,2021-2022
Joshua Steel,G,6-4,180,Surrey Scorchers,Harlow,"2017 NBA Draft, Undrafted",England,2021-2022
E.J. Stephens,G,6-3,175,Cheshire Phoenix,Plantation (FL),"2022 NBA Draft, Undrafted",United States,2021-2022
Parker Stewart,SG,6-5,200,Sheffield Sharks,Union City (TN),"2023 NBA Draft, Undrafted",United States,2021-2022
Cael Sweeney,G,-,-,Caledonia Gladiators,N/A,2024 NBA Draft Eligible,England,2021-2022
Jordan Taylor,G,6-1,195,London Lions,Bloomington (MN),"2012 NBA Draft, Undrafted",United States,2021-2022
Miryne Thomas,F,6-8,215,Leicester Riders,Cleveland (OH),"2023 NBA Draft, Undrafted",United States,2021-2022
Raphell Thomas-Edwards,F,6-6,245,Bristol Flyers,Leicester,"2015 NBA Draft, Undrafted",England,2021-2022
Remy Udeh,-,-,-,London Lions,N/A,"2023 NBA Draft, Undrafted",-,2021-2022
David Ulph,PF,6-7,216,Cheshire Phoenix,Widnes,"2015 NBA Draft, Undrafted",England,2021-2022
Maurice Walker,PF,6-10,255,Leicester Riders,Scarborough,"2015 NBA Draft, Undrafted",Canada,2021-2022
Evan Walshe,GF,6-4,200,Manchester Giants,Tring,"2020 NBA Draft, Undrafted",England,2021-2022
Zach Walton,G,6-6,205,Sheffield Sharks,Morton (WA),"2022 NBA Draft, Undrafted",United States,2021-2022
Padiet Wang,G,6-4,165,Surrey Scorchers,Aurora (CO),"2020 NBA Draft, Undrafted",United StatesSouth Sudan,2021-2022
Josh Ward-Hibbert,F,6-4,190,Newcastle Eagles,Nottingham,"2016 NBA Draft, Undrafted",England,2021-2022
Conner Washington,G,6-1,178,Leicester Riders,Elstow,"2014 NBA Draft, Undrafted",England,2021-2022
Patrick Whelan,SG,6-5,205,Caledonia Gladiators,Warrington,"2018 NBA Draft, Undrafted",England,2021-2022
Skyler White,F,6-7,220,Cheshire Phoenix,Clyde Hill (WA),"2018 NBA Draft, Undrafted",United States,2021-2022
Will White,F,6-3,-,Plymouth City Patriots,N/A,2024 NBA Draft Eligible,England,2021-2022
Devin Whitfield,G,6-5,170,Newcastle Eagles,Lipscomb (AL),"2021 NBA Draft, Undrafted",United States,2021-2022
Greg Wild,G,6-1,190,Cheshire Phoenix,Manchester,2024 NBA Draft Eligible,England,2021-2022
Jacob Wiley,F,6-7,210,Plymouth City Patriots,Houston (TX),"2022 NBA Draft, Undrafted",United States,2021-2022
Benjamin Woog,C,6-7,227,Leicester Riders,Haverfordwest,2025 NBA Draft Eligible,Wales,2021-2022
Seth Wylie,-,-,-,Leicester Riders,N/A,"2023 NBA Draft, Undrafted",-,2021-2022
Charles Yassi-Pepin,F,6-7,-,Plymouth City Patriots,N/A,"2019 NBA Draft, Undrafted",England,2021-2022
Jubril Adekoya,F,6-7,230,Sheffield Sharks,Tinley Park (IL),"2017 NBA Draft, Undrafted",United States,2022-2023
Fahro Alihodzic,FC,6-10,240,Caledonia Gladiators,Vlasenica,"2014 NBA Draft, Undrafted",Bosnia and HerzegovinaEngland,2022-2023
Teddy Allen,SF,6-6,212,Leicester Riders,Phoenix (AZ),"2022 NBA Draft, Undrafted",United States,2022-2023
Terrell Allen,PG,6-3,180,Sheffield Sharks,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2022-2023
Jamell Anderson,F,6-7,214,Manchester Giants,Nottingham,"2012 NBA Draft, Undrafted",England,2022-2023
Caleb Asberry,G,6-3,165,Leicester Riders,Pflugerville (TX),"2023 NBA Draft, Undrafted",United States,2022-2023
T.J. Atwood,SG,6-6,203,Plymouth City Patriots,Beaumont (TX),"2020 NBA Draft, Undrafted",United States,2022-2023
Larry Austin,SG,6-2,182,Newcastle Eagles,Springfield (IL),"2019 NBA Draft, Undrafted",United States,2022-2023
Elliot Bailey,F,6-6,198,Surrey Scorchers,Horsham,"2021 NBA Draft, Undrafted",England,2022-2023
Oscar Baldwin,F,6-10,200,Caledonia Gladiators,Grindleford,"2021 NBA Draft, Undrafted",England,2022-2023
Tyrell Bellot-Green,SG,6-7,215,Plymouth City Patriots,Toronto,"2017 NBA Draft, Undrafted",Canada,2022-2023
Mike Bothwell,G,6-3,195,Caledonia Gladiators,Willoughby (OH),"2023 NBA Draft, Undrafted",United States,2022-2023
Mason Bourcier,G,6-4,200,Manchester Giants,Kelowna,"2021 NBA Draft, Undrafted",Canada,2022-2023
Blake Bowman,F,6-5,194,Leicester Riders,Derby,"2023 NBA Draft, Undrafted",England,2022-2023
Levi Bradley,SF,6-7,210,Bristol Flyers,Milwaukee (WI),"2019 NBA Draft, Undrafted",United States,2022-2023
Braelen Bridges,F,6-11,240,Leicester Riders,McDonough (GA),"2023 NBA Draft, Undrafted",United States,2022-2023
Jonny Bunyan,PG,6-0,180,Caledonia Gladiators,Falkirk,"2014 NBA Draft, Undrafted",Scotland,2022-2023
Trent Buttrick,F,6-8,240,Caledonia Gladiators,Bloomsburg (PA),"2022 NBA Draft, Undrafted",United States,2022-2023
Ethan Chargois,PF,6-9,231,Cheshire Phoenix,Tulsa (OK),"2022 NBA Draft, Undrafted",United States,2022-2023
Nedas Cholevinskas,F,6-4,202,Surrey Scorchers,N/A,2027 NBA Draft Eligible,EnglandLithuania,2022-2023
Cam Christon,G,6-6,190,Cheshire Phoenix,Allen (TX),"2023 NBA Draft, Undrafted",United States,2022-2023
Max Cooper,F,6-6,231,Bristol Flyers,Minnetonka (MN),"2020 NBA Draft, Undrafted",United States,2022-2023
Quin Cooper,F,6-5,185,Surrey Scorchers,Covington (LA),"2015 NBA Draft, Undrafted",United States,2022-2023
Cameron Copeland,F,6-7,185,Plymouth City Patriots,Douglasville (GA),"2023 NBA Draft, Undrafted",United States,2022-2023
Christian Cunningham,F,6-7,215,Bristol Flyers,Albuquerque (NM),"2019 NBA Draft, Undrafted",United States,2022-2023
Jules Dang Akodo,PG,6-2,190,Plymouth City Patriots,Yaounde,"2018 NBA Draft, Undrafted",CameroonEngland,2022-2023
Darrius Defoe,PF,6-9,220,Newcastle Eagles,London,"2006 NBA Draft, Undrafted",DominicaEngland,2022-2023
Sam Dekker,SF,6-9,230,London Lions,Sheboygan (WI),2015 Rnd 1 Pick 18,United States,2022-2023
Malcolm Delpeche,C,6-8,215,Newcastle Eagles,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2022-2023
Marcus Delpeche,F,6-7,215,Sheffield Sharks,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2022-2023
Lachlan Timothy Dent,PG,6-0,174,London Lions,Campbelltown,"2022 NBA Draft, Undrafted",Australia,2022-2023
Joshua Djanogly,C,6-8,215,London Lions,London,"2022 NBA Draft, Undrafted",England,2022-2023
Ian DuBose,G,6-4,210,Caledonia Gladiators,Durham (NC),"2021 NBA Draft, Undrafted",United States,2022-2023
Elvisi Dusha,G,6-2,184,Plymouth City Patriots,London,"2016 NBA Draft, Undrafted",EnglandAlbania,2022-2023
R.J. Eytle-Rock,GF,6-4,225,Sheffield Sharks,London,"2023 NBA Draft, Undrafted",England,2022-2023
Mason Faulkner,SG,6-1,190,Plymouth City Patriots,Glasgow (KY),"2022 NBA Draft, Undrafted",United States,2022-2023
Rodney Glasgow,PG,5-10,170,Sheffield Sharks,Olney (MD),"2014 NBA Draft, Undrafted",United States,2022-2023
Cam Gooden,G,5-11,175,Surrey Scorchers,Frisco (TX),"2023 NBA Draft, Undrafted",United States,2022-2023
Mathew Goodwin,G,6-2,-,Manchester Giants,N/A,2027 NBA Draft Eligible,England,2022-2023
Rowell Graham,SF,6-6,214,Bristol Flyers,London,"2016 NBA Draft, Undrafted",England,2022-2023
Donte Grantham,PF,6-8,215,London Lions,Martinsburg (WV),"2018 NBA Draft, Undrafted",United States,2022-2023
Malek Green,F,6-7,220,Sheffield Sharks,Cincinnati (OH),"2023 NBA Draft, Undrafted",United States,2022-2023
Quade Green,PG,6-0,170,Caledonia Gladiators,Philadelphia (PA),"2021 NBA Draft, Undrafted",United States,2022-2023
Tajh Green,F,6-8,215,Newcastle Eagles,Columbia (SC),"2022 NBA Draft, Undrafted",United States,2022-2023
Brad Greene,C,6-11,270,Bristol Flyers,Lone Pine (CA),"2022 NBA Draft, Undrafted",United States,2022-2023
Rokas Gustys,C,6-9,279,London Lions,Kaunas,"2018 NBA Draft, Undrafted",Lithuania,2022-2023
Jalen Harris,PG,6-1,180,Manchester Giants,Los Angeles (CA),"2023 NBA Draft, Undrafted",United States,2022-2023
Joseph Hart,SF,6-5,205,Plymouth City Patriots,Southend-on-Sea,"2015 NBA Draft, Undrafted",England,2022-2023
Cam Holden,G,6-5,200,Cheshire Phoenix,Forsyth (GA),"2023 NBA Draft, Undrafted",United States,2022-2023
Jaren Holmes,G,6-4,207,Leicester Riders,Romulus (MI),"2023 NBA Draft, Undrafted",United States,2022-2023
Jack Hudson,PG,6-2,194,Cheshire Phoenix,Liverpool,"2015 NBA Draft, Undrafted",England,2022-2023
Jordan Hunt,C,6-9,230,Surrey Scorchers,Lower Hutt,"2020 NBA Draft, Undrafted",New Zealand,2022-2023
Samuel Idowu,SF,6-7,240,Leicester Riders,Brooklyn (NY),"2019 NBA Draft, Undrafted",United StatesEngland,2022-2023
Maceo Jack,G,6-5,190,Cheshire Phoenix,Buffalo (NY),"2022 NBA Draft, Undrafted",United States,2022-2023
C.J. Jackson,PG,6-1,175,Bristol Flyers,Charlotte (NC),"2019 NBA Draft, Undrafted",United States,2022-2023
Trejon Jacob,G,6-5,175,Bristol Flyers,Raleigh (NC),"2020 NBA Draft, Undrafted",United States,2022-2023
Saiquan Jamison,F,6-8,230,Surrey Scorchers,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2022-2023
Kyle Jimenez,SF,6-2,200,Caledonia Gladiators,Edinburgh,"2020 NBA Draft, Undrafted",Scotland,2022-2023
D'Andre Johnson,C,6-10,210,Plymouth City Patriots,Washington (DC),"2023 NBA Draft, Undrafted",United States,2022-2023
Jordan Johnson,PG,5-11,175,Newcastle Eagles,Waukegan (IL),"2018 NBA Draft, Undrafted",United States,2022-2023
Kedrian Johnson,G,6-3,185,Bristol Flyers,Dallas (TX),"2023 NBA Draft, Undrafted",United States,2022-2023
Kyle Johnson,G,6-4,210,Caledonia Gladiators,Ajax,"2011 NBA Draft, Undrafted",CanadaEngland,2022-2023
Taylor Johnson,G,6-4,180,Plymouth City Patriots,Aledo (TX),"2018 NBA Draft, Undrafted",United States,2022-2023
Callum Jones,SG,6-4,200,Manchester Giants,Manchester,"2010 NBA Draft, Undrafted",England,2022-2023
Mihailo Jovicic,PG,6-2,194,Caledonia Gladiators,Kragujevac,"2021 NBA Draft, Undrafted",Serbia,2022-2023
Bradley Kaboza,F,6-2,194,London Lions,London,"2023 NBA Draft, Undrafted",England,2022-2023
Sauver Kande,F,6-4,185,Newcastle Eagles,London,2024 NBA Draft Eligible,England,2022-2023
Bennett Koch,F,6-10,235,Sheffield Sharks,Ashwaubenon (WI),"2018 NBA Draft, Undrafted",United States,2022-2023
T.J. Lall,F,6-6,202,Leicester Riders,Cambridge,"2018 NBA Draft, Undrafted",Canada,2022-2023
Pasquale Landolfi,F,6-4,194,Bristol Flyers,Dorchester,"2023 NBA Draft, Undrafted",England,2022-2023
Andrew Lawrence,PG,6-1,192,Surrey Scorchers,London,"2013 NBA Draft, Undrafted",England,2022-2023
Austin Lawton,F,6-8,205,Manchester Giants,Eutawville (SC),"2019 NBA Draft, Undrafted",United States,2022-2023
William Lee,F,6-9,206,Manchester Giants,Plantersville (AL),"2018 NBA Draft, Undrafted",United States,2022-2023
Spencer Levi,F,6-8,220,Plymouth City Patriots,St. Louis (MO),"2022 NBA Draft, Undrafted",United States,2022-2023
Nicholas Lewis,PG,6-3,185,Manchester Giants,Scarborough,"2015 NBA Draft, Undrafted",CanadaEngland,2022-2023
Brincey Lomeka,SF,6-5,220,Plymouth City Patriots,N/A,"2023 NBA Draft, Undrafted",England,2022-2023
Te'Jon Lucas,G,6-1,187,Bristol Flyers,Milwaukee (WI),"2022 NBA Draft, Undrafted",United States,2022-2023
Kimbal Mackenzie,PG,6-1,195,Leicester Riders,Oakville,"2019 NBA Draft, Undrafted",CanadaEngland,2022-2023
Fraser Malcolm,PF,6-6,215,Caledonia Gladiators,Falkirk,"2019 NBA Draft, Undrafted",Scotland,2022-2023
Sam Mamuini,G,6-0,198,Newcastle Eagles,Newcastle,2024 NBA Draft Eligible,England,2022-2023
Rickey McGill,PG,6-1,175,Newcastle Eagles,Spring Valley (NY),"2019 NBA Draft, Undrafted",United States,2022-2023
Darius McNeill,G,6-3,185,Manchester Giants,Houston (TX),"2023 NBA Draft, Undrafted",United States,2022-2023
Abdul Mohamed,F,6-7,190,Surrey Scorchers,Ottawa,"2020 NBA Draft, Undrafted",Canada,2022-2023
Nathaniel Montgomery,G,5-10,154,Sheffield Sharks,Sheffield,"2021 NBA Draft, Undrafted",England,2022-2023
Clifton Moore,PF,6-10,240,Caledonia Gladiators,Horsham (PA),"2023 NBA Draft, Undrafted",United States,2022-2023
Conor Morgan,FC,6-9,220,London Lions,Victoria,"2016 NBA Draft, Undrafted",Canada,2022-2023
Matt Morgan,G,6-2,174,London Lions,Concord (NC),"2019 NBA Draft, Undrafted",United States,2022-2023
Victor Ndoukou,F,6-8,235,Leicester Riders,Wigan,2025 NBA Draft Eligible,England,2022-2023
Will Neighbour,FC,6-10,225,Newcastle Eagles,Grayshott,"2014 NBA Draft, Undrafted",England,2022-2023
Luke Nelson,G,6-3,190,London Lions,Worthing,"2017 NBA Draft, Undrafted",England,2022-2023
Kipper Nichols,F,6-6,220,Sheffield Sharks,Lakewood (OH),"2020 NBA Draft, Undrafted",United States,2022-2023
Prentiss Nixon,PG,6-2,189,Sheffield Sharks,Bolingbrook (IL),"2020 NBA Draft, Undrafted",United States,2022-2023
Mekhii Noble,PF,6-8,225,Plymouth City Patriots,Jacksonville (FL),"2023 NBA Draft, Undrafted",United States,2022-2023
David Nwaba,G,6-5,219,London Lions,Los Angeles (CA),"2016 NBA Draft, Undrafted",United States,2022-2023
Emeka Obukwelu,F,6-8,235,Surrey Scorchers,Plano (TX),"2022 NBA Draft, Undrafted",United States,2022-2023
Tayo Ogedegebe,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2022-2023
Luke Okieseme,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2022-2023
Gabriel Olaseni,C,6-10,225,London Lions,London,"2015 NBA Draft, Undrafted",England,2022-2023
Tevin Olison,G,6-4,200,Bristol Flyers,Memphis (TN),"2022 NBA Draft, Undrafted",United States,2022-2023
Princeton Onwas,GF,6-6,215,Caledonia Gladiators,Katy (TX),"2016 NBA Draft, Undrafted",United States,2022-2023
Lukas Palyza,SF,6-6,198,Caledonia Gladiators,Ostrava,"2011 NBA Draft, Undrafted",Czech Republic,2022-2023
Dijiani Parkinson,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2022-2023
Tarik Phillip,G,6-3,185,London Lions,Brooklyn (NY),"2017 NBA Draft, Undrafted",United StatesEngland,2022-2023
Xavier Pinson,PG,6-3,174,Leicester Riders,Chicago (IL),"2023 NBA Draft, Undrafted",United States,2022-2023
Jalon Pipkins,G,6-4,200,Sheffield Sharks,Paris (TX),"2022 NBA Draft, Undrafted",United States,2022-2023
Kareem Queeley,G,6-3,202,London Lions,Saint Kitts,"2023 NBA Draft, Undrafted",Saint Kitts and NevisEngland,2022-2023
Aaryn Rai,GF,6-6,205,Cheshire Phoenix,Markham,"2022 NBA Draft, Undrafted",Canada,2022-2023
Devearl Ramsey,PG,6-0,185,Sheffield Sharks,Chatsworth (CA),"2022 NBA Draft, Undrafted",United States,2022-2023
Jordan Ratinho,PG,6-5,210,Sheffield Sharks,Concord (CA),"2020 NBA Draft, Undrafted",United States,2022-2023
LaQuincy Rideau,PG,6-1,209,Cheshire Phoenix,West Palm Beach (FL),"2020 NBA Draft, Undrafted",United States,2022-2023
Legend Robertin,C,7-1,280,Manchester Giants,London,"2018 NBA Draft, Undrafted",England,2022-2023
Justin Robinson,SG,6-2,190,Surrey Scorchers,London,"2011 NBA Draft, Undrafted",England,2022-2023
Dan Rudd,G,6-1,198,Cheshire Phoenix,N/A,2027 NBA Draft Eligible,England,2022-2023
Sesan Russell,G,6-1,200,Leicester Riders,London,"2023 NBA Draft, Undrafted",England,2022-2023
Corey Samuels,G,6-1,165,Bristol Flyers,Bristol,"2022 NBA Draft, Undrafted",England,2022-2023
Ciaran Sandy,F,6-7,195,Leicester Riders,London,2025 NBA Draft Eligible,England,2022-2023
Josh Sharma,C,7-0,230,London Lions,Lexington (MA),"2019 NBA Draft, Undrafted",United StatesEngland,2022-2023
Duke Shelton,F,6-8,215,Leicester Riders,Ocala (FL),"2018 NBA Draft, Undrafted",United States,2022-2023
Callum Smart,C,6-11,216,Bristol Flyers,Gloucester,2026 NBA Draft Eligible,England,2022-2023
Leslee Smith,F,6-8,254,Bristol Flyers,Tortola,"2015 NBA Draft, Undrafted",British Virgin Islands,2022-2023
Morayo Soluade,PG,6-5,196,London Lions,London,"2017 NBA Draft, Undrafted",England,2022-2023
Scott Spencer,SF,6-6,210,Newcastle Eagles,Saint George (VA),"2022 NBA Draft, Undrafted",United States,2022-2023
Nick Stampley,F,6-6,210,Manchester Giants,Pompano Beach (FL),"2022 NBA Draft, Undrafted",United States,2022-2023
Joshua Steel,G,6-4,180,Surrey Scorchers,Harlow,"2017 NBA Draft, Undrafted",England,2022-2023
E.J. Stephens,G,6-3,175,Cheshire Phoenix,Plantation (FL),"2022 NBA Draft, Undrafted",United States,2022-2023
Parker Stewart,SG,6-5,200,Sheffield Sharks,Union City (TN),"2023 NBA Draft, Undrafted",United States,2022-2023
Cael Sweeney,G,-,-,Caledonia Gladiators,N/A,2024 NBA Draft Eligible,England,2022-2023
Jordan Taylor,G,6-1,195,London Lions,Bloomington (MN),"2012 NBA Draft, Undrafted",United States,2022-2023
Miryne Thomas,F,6-8,215,Leicester Riders,Cleveland (OH),"2023 NBA Draft, Undrafted",United States,2022-2023
Raphell Thomas-Edwards,F,6-6,245,Bristol Flyers,Leicester,"2015 NBA Draft, Undrafted",England,2022-2023
Remy Udeh,-,-,-,London Lions,N/A,"2023 NBA Draft, Undrafted",-,2022-2023
David Ulph,PF,6-7,216,Cheshire Phoenix,Widnes,"2015 NBA Draft, Undrafted",England,2022-2023
Maurice Walker,PF,6-10,255,Leicester Riders,Scarborough,"2015 NBA Draft, Undrafted",Canada,2022-2023
Evan Walshe,GF,6-4,200,Manchester Giants,Tring,"2020 NBA Draft, Undrafted",England,2022-2023
Zach Walton,G,6-6,205,Sheffield Sharks,Morton (WA),"2022 NBA Draft, Undrafted",United States,2022-2023
Padiet Wang,G,6-4,165,Surrey Scorchers,Aurora (CO),"2020 NBA Draft, Undrafted",United StatesSouth Sudan,2022-2023
Josh Ward-Hibbert,F,6-4,190,Newcastle Eagles,Nottingham,"2016 NBA Draft, Undrafted",England,2022-2023
Conner Washington,G,6-1,178,Leicester Riders,Elstow,"2014 NBA Draft, Undrafted",England,2022-2023
Patrick Whelan,SG,6-5,205,Caledonia Gladiators,Warrington,"2018 NBA Draft, Undrafted",England,2022-2023
Skyler White,F,6-7,220,Cheshire Phoenix,Clyde Hill (WA),"2018 NBA Draft, Undrafted",United States,2022-2023
Will White,F,6-3,-,Plymouth City Patriots,N/A,2024 NBA Draft Eligible,England,2022-2023
Devin Whitfield,G,6-5,170,Newcastle Eagles,Lipscomb (AL),"2021 NBA Draft, Undrafted",United States,2022-2023
Greg Wild,G,6-1,190,Cheshire Phoenix,Manchester,2024 NBA Draft Eligible,England,2022-2023
